Date,Year,Month,MDA,LGA,Revenue Stream,Collection Channel,Collector,Amount,Revenue Target,Expected Amount,Remitted Amount,Variance
02/01/2021,2021,1,Ministry of Works and Housing,Katsina,PAYE Tax,Cash Office,MDA Desk Officer,6889508.55,7456584.48,7309240.7,5895511.27,1413729.43
02/01/2021,2021,1,Katsina Urban Planning Authority,Katsina,Road Taxes,Online Portal,MDA Desk Officer,12070373.55,15759393.36,13110751.19,10870367.17,2240384.02
02/01/2021,2021,1,Ministry of Education,Katsina,Market Fees,POS,IRS Team A,8165200.1,10792530.16,10303818.45,8016548.96,2287269.49
02/01/2021,2021,1,Ministry of Works and Housing,Katsina,Land Use Charges,Bank Transfer,MDA Desk Officer,9010237.35,11439503.45,9385052.65,7718017.2,1667035.45
02/01/2021,2021,1,Ministry of Health,Katsina,Business Premises Levy,POS,IRS Team A,14596629.15,16604256.18,14713488.31,13451355.85,1262132.46
02/01/2021,2021,1,Katsina State Internal Revenue Service,Katsina,Motor Vehicle Registration,Online Portal,MDA Desk Officer,10779437.6,13005403.05,11660543.61,10490449.7,1170093.91
02/01/2021,2021,1,Katsina Urban Planning Authority,Katsina,Development Levy,Collection Agent,MDA Desk Officer,14049039.4,14804377.96,14487390.5,13303361.14,1184029.36
02/01/2021,2021,1,Katsina Urban Planning Authority,Katsina,Tenement Rates,Collection Agent,Collection Agent North,10105968.85,12189644.81,10774417.9,9363280.52,1411137.38
02/01/2021,2021,1,Ministry of Health,Katsina,Licensing Fees,Bank Transfer,Collection Agent North,18073441.4,22545212.89,18803279.69,16275810.34,2527469.35
02/01/2021,2021,1,Ministry of Works and Housing,Katsina,Court Fines and Penalties,Cash Office,Collection Agent North,9272604.1,11330663.72,9826192.01,8144677.87,1681514.14
02/01/2021,2021,1,Ministry of Commerce and Industry,Daura,PAYE Tax,Bank Transfer,MDA Desk Officer,3425887.95,4622433.34,4073028.34,3169464.16,903564.18
02/01/2021,2021,1,Katsina State Internal Revenue Service,Daura,Road Taxes,Online Portal,Collection Agent North,17624842.5,23603501.95,21856798.95,15598090.97,6258707.98
02/01/2021,2021,1,Ministry of Health,Daura,Market Fees,POS,Collection Agent South,11059560.35,13087330.48,12437283.19,9473834.82,2963448.37
02/01/2021,2021,1,Ministry of Transport,Daura,Land Use Charges,POS,IRS Team A,4324407.1,4873212,4241690.05,3852136.34,389553.71
02/01/2021,2021,1,Ministry of Lands and Survey,Daura,Business Premises Levy,Bank Transfer,IRS Team A,10103689.55,12480839.04,11258516.28,9659711.99,1598804.29
02/01/2021,2021,1,Ministry of Lands and Survey,Daura,Motor Vehicle Registration,Bank Transfer,Collection Agent South,3324561.45,3867255.03,3516559.12,3142588.15,373970.97
02/01/2021,2021,1,Ministry of Commerce and Industry,Daura,Development Levy,Online Portal,Collection Agent North,2287160.25,2424182.53,2211624.49,2086143.42,125481.07
02/01/2021,2021,1,Ministry of Health,Daura,Tenement Rates,Cash Office,IRS Team A,2184042.05,2763501.98,2586113.87,1978341.2,607772.67
02/01/2021,2021,1,Ministry of Works and Housing,Daura,Licensing Fees,Bank Transfer,Collection Agent South,6258336.8,7298238.16,6285481.73,6177343.4,108138.33
02/01/2021,2021,1,Ministry of Agriculture,Daura,Court Fines and Penalties,Cash Office,MDA Desk Officer,16628521.6,18090850.21,18000141.12,15424043.33,2576097.79
