Date,Year,Month,LGA,Population Band,Revenue Target,Actual Revenue,Registered Taxpayers,Active Taxpayers,Collection Gap
20/01/2021,2021,1,Katsina,High,235959655,242486257.8,7061,4220,-6526602.78
20/01/2021,2021,1,Daura,Low,219392925,129214449,12410,9106,90178475.97
20/01/2021,2021,1,Funtua,Medium,95178667,87273853.94,33282,11899,7904813.06
20/01/2021,2021,1,Malumfashi,Low,164675891,173028898,26701,18122,-8353006.95
20/01/2021,2021,1,Dutsin-Ma,High,188903787,119530976.6,24816,18382,69372810.4
20/01/2021,2021,1,Kankia,High,232326803,210216463.2,3189,1706,22110339.77
20/01/2021,2021,1,Mani,Low,127102598,86283883.04,25414,19597,40818714.96
20/01/2021,2021,1,Mashi,Medium,37659120,28170919.3,26941,13698,9488200.7
20/01/2021,2021,1,Musawa,Medium,36278612,23045379.72,9016,4401,13233232.28
20/01/2021,2021,1,Bakori,High,76474217,89444535.28,8006,3021,-12970318.28
20/01/2021,2021,1,Charanchi,High,162932368,138674142.5,21158,12761,24258225.46
20/01/2021,2021,1,Jibia,Low,214369117,212943892.3,20564,15456,1425224.67
20/01/2021,2021,1,Batsari,High,169317217,171698936.3,5947,3685,-2381719.29
20/01/2021,2021,1,Rimi,High,160782434,186089246.6,8315,3413,-25306812.59
20/01/2021,2021,1,Kusada,Low,126282728,83736846.29,24136,18220,42545881.71
20/02/2021,2021,2,Katsina,Low,182385874,139887979.7,14959,7001,42497894.35
20/02/2021,2021,2,Daura,Low,53834018,49960801.21,19242,6986,3873216.79
20/02/2021,2021,2,Funtua,Medium,37106419,21863866.37,30247,22667,15242552.63
20/02/2021,2021,2,Malumfashi,Medium,95255963,53050093.94,20360,10463,42205869.06
20/02/2021,2021,2,Dutsin-Ma,Medium,240702709,122008302.8,3070,2226,118694406.2
20/02/2021,2021,2,Kankia,Medium,38783784,45906641.06,32664,21129,-7122857.06
20/02/2021,2021,2,Mani,Low,164238656,173768500.1,26164,13186,-9529844.13
20/02/2021,2021,2,Mashi,Low,184373165,98507372.87,9756,7893,85865792.13
20/02/2021,2021,2,Musawa,Low,167302926,100253864,27376,22298,67049062.05
20/02/2021,2021,2,Bakori,High,77059892,55625493.69,5252,4227,21434398.31
20/02/2021,2021,2,Charanchi,High,81894549,54613316.65,3369,1216,27281232.35
20/02/2021,2021,2,Jibia,High,39007403,45592894.33,15302,12105,-6585491.33
20/02/2021,2021,2,Batsari,Low,99630541,112672824,5099,3186,-13042282.98
20/02/2021,2021,2,Rimi,Low,28550246,26784214.68,1485,838,1766031.32
20/02/2021,2021,2,Kusada,Low,175965905,195330526.8,18702,10961,-19364621.84
20/03/2021,2021,3,Katsina,High,57090145,57634110.88,16556,7930,-543965.88
20/03/2021,2021,3,Daura,Low,246269846,216523474.5,9727,3567,29746371.48
20/03/2021,2021,3,Funtua,Low,70185136,41244670.87,24117,18336,28940465.13
20/03/2021,2021,3,Malumfashi,Medium,237181737,281498581.8,10727,5992,-44316844.79
20/03/2021,2021,3,Dutsin-Ma,Low,95046587,71527361.63,34285,12205,23519225.37
20/03/2021,2021,3,Kankia,High,220623792,174876656,16855,11168,45747135.99
20/03/2021,2021,3,Mani,Low,134614726,159444503.7,4189,3375,-24829777.65
20/03/2021,2021,3,Mashi,Low,134901778,147930408.4,13160,4657,-13028630.39
20/03/2021,2021,3,Musawa,High,41659605,49906176.7,34347,25498,-8246571.7
20/03/2021,2021,3,Bakori,Low,44877194,28482526.72,7557,3048,16394667.28
20/03/2021,2021,3,Charanchi,Low,37967966,25514950.85,32286,17283,12453015.15
20/03/2021,2021,3,Jibia,Low,106163946,110426172.8,21705,8382,-4262226.81
20/03/2021,2021,3,Batsari,Low,226462633,133472396.2,7606,5639,92990236.83
20/03/2021,2021,3,Rimi,Low,147451708,107974345.1,1490,1141,39477362.92
20/03/2021,2021,3,Kusada,High,119783688,72341779.03,8873,5828,47441908.97
20/04/2021,2021,4,Katsina,High,102480454,80288013,25126,20522,22192441
