Date,Year,Month,MDA,Revenue Target,Actual Revenue,Operating Cost,Staff Count,Compliance Score,Reconciliation Status
28/01/2021,2021,1,Katsina State Internal Revenue Service,89275139,100609533.8,18957417.35,240,64.3,Exception Noted
28/01/2021,2021,1,Ministry of Works and Housing,454549187,474065455.2,71012432.42,133,76.5,Reconciled
28/01/2021,2021,1,Ministry of Health,285522193,233452785.5,26082128.21,108,59.5,Reconciled
28/01/2021,2021,1,Ministry of Education,419347480,366413885.2,82033719.78,732,49.8,Reconciled
28/01/2021,2021,1,Ministry of Agriculture,308157750,353988057.6,83109163.46,618,70.4,Exception Noted
28/01/2021,2021,1,Ministry of Commerce and Industry,477884498,361408742.9,78179867.42,325,55.8,Exception Noted
28/01/2021,2021,1,Ministry of Lands and Survey,402345609,243033683.6,33141278.66,408,85.5,Exception Noted
28/01/2021,2021,1,Ministry of Transport,156633769,170195051.9,33491507.32,164,67.9,Reconciled
28/01/2021,2021,1,Katsina Urban Planning Authority,379979477,268835535.8,35187415.18,480,66.9,Reconciled
28/01/2021,2021,1,State Water Board,473860444,312313034.6,40768004.2,345,59.7,Reconciled
28/02/2021,2021,2,Katsina State Internal Revenue Service,462196950,446836538.5,44523369.52,591,81.8,Pending
28/02/2021,2021,2,Ministry of Works and Housing,249276918,217936048.1,23788130.45,152,81.7,Exception Noted
28/02/2021,2021,2,Ministry of Health,111886957,108954949.4,20878416.84,275,61.4,Reconciled
28/02/2021,2021,2,Ministry of Education,189010024,184014529.2,27401860.26,442,45.5,Reconciled
28/02/2021,2021,2,Ministry of Agriculture,180221770,114836460.9,15913550.76,749,78.4,Exception Noted
28/02/2021,2021,2,Ministry of Commerce and Industry,295636878,182382162.4,42185540.87,119,76.1,Reconciled
28/02/2021,2021,2,Ministry of Lands and Survey,118601876,69920924.26,6257587.02,535,67.5,Pending
28/02/2021,2021,2,Ministry of Transport,377177679,376385368.7,81216673.77,753,88.6,Reconciled
28/02/2021,2021,2,Katsina Urban Planning Authority,516640102,391329047.3,88160245.88,269,49.3,Pending
28/02/2021,2021,2,State Water Board,486768453,543786405.9,75234779.28,571,70.2,Pending
28/03/2021,2021,3,Katsina State Internal Revenue Service,400439021,379096381.6,44396773.22,854,81,Pending
28/03/2021,2021,3,Ministry of Works and Housing,438674203,468770929.5,48817733.95,200,53,Pending
28/03/2021,2021,3,Ministry of Health,546861304,373352167.5,35984351.47,154,90.2,Exception Noted
28/03/2021,2021,3,Ministry of Education,279375252,217365139.9,19279810.2,287,64.1,Pending
28/03/2021,2021,3,Ministry of Agriculture,85889477,74676925.22,15078581.63,644,74.1,Pending
28/03/2021,2021,3,Ministry of Commerce and Industry,534202549,456326342.9,93947038.73,289,64,Reconciled
28/03/2021,2021,3,Ministry of Lands and Survey,506642970,460049061.6,64977687.03,769,62.5,Exception Noted
28/03/2021,2021,3,Ministry of Transport,201911146,138059042.4,27603197.09,310,90.9,Reconciled
28/03/2021,2021,3,Katsina Urban Planning Authority,182310538,170735363.9,17483646.46,120,80.3,Pending
28/03/2021,2021,3,State Water Board,198242901,118067042.5,25044212.01,425,72.5,Pending
28/04/2021,2021,4,Katsina State Internal Revenue Service,375638865,266100018.5,39050968.7,342,63,Exception Noted
28/04/2021,2021,4,Ministry of Works and Housing,507577964,501629022.7,69192493.58,91,49,Exception Noted
28/04/2021,2021,4,Ministry of Health,545940006,420065908.2,76119683,227,48.7,Reconciled
28/04/2021,2021,4,Ministry of Education,464905025,461176137.5,47753376.32,306,82.2,Reconciled
28/04/2021,2021,4,Ministry of Agriculture,503293390,422607432.7,45821708.2,443,61.6,Pending
28/04/2021,2021,4,Ministry of Commerce and Industry,195277950,148919341.7,36718410.97,305,80.9,Exception Noted
28/04/2021,2021,4,Ministry of Lands and Survey,217430005,140796420.1,32760112.16,855,90.4,Pending
28/04/2021,2021,4,Ministry of Transport,546355209,320183114.8,37569977.81,843,64.3,Exception Noted
28/04/2021,2021,4,Katsina Urban Planning Authority,450445791,315195980.9,57337757.73,490,71.7,Exception Noted
28/04/2021,2021,4,State Water Board,140813029,135967211.4,16942730.75,493,78.2,Exception Noted
28/05/2021,2021,5,Katsina State Internal Revenue Service,381915080,414308754.6,91894781.65,890,82.6,Reconciled
28/05/2021,2021,5,Ministry of Works and Housing,165285143,177445226.8,23148613.51,829,67.8,Reconciled
28/05/2021,2021,5,Ministry of Health,445215326,249790815.6,22969190.23,231,72.1,Exception Noted
28/05/2021,2021,5,Ministry of Education,191383836,174546384,14734478.68,171,59.6,Exception Noted
28/05/2021,2021,5,Ministry of Agriculture,359633971,351336047.7,49566424.65,395,55.7,Reconciled
28/05/2021,2021,5,Ministry of Commerce and Industry,288694792,218295766,50146340.28,654,62.4,Pending
28/05/2021,2021,5,Ministry of Lands and Survey,83087276,49079925.89,6936963.87,199,49.1,Reconciled
28/05/2021,2021,5,Ministry of Transport,419853286,332543037.2,77732260.26,507,56.8,Exception Noted
28/05/2021,2021,5,Katsina Urban Planning Authority,206078484,233702590.2,26483020.87,607,49.5,Exception Noted
28/05/2021,2021,5,State Water Board,298808036,249670709.2,48371472.05,567,74.1,Reconciled
28/06/2021,2021,6,Katsina State Internal Revenue Service,259263643,245066649.9,44880185.79,879,49.4,Pending
28/06/2021,2021,6,Ministry of Works and Housing,130798442,144148350.3,27228692.36,575,64.9,Exception Noted
28/06/2021,2021,6,Ministry of Health,220073364,153541884.6,16528272.03,279,56.3,Pending
28/06/2021,2021,6,Ministry of Education,547528083,436091580,81236451.59,450,71.6,Exception Noted
28/06/2021,2021,6,Ministry of Agriculture,310001132,250248478.2,36623961.09,130,86.2,Exception Noted
28/06/2021,2021,6,Ministry of Commerce and Industry,216279671,165950584.4,29156218.56,182,56.9,Pending
