Date,Year,Month,Employee ID,MDA,LGA,Grade Level,Bank,Basic Salary,Allowances,Deductions,Net Pay,Employee Status
25/01/2021,2021,1,EMP10001,Ministry of Health,Malumfashi,GL 08,UBA,444283,67651.89,34110.22,477824.67,Retired
25/01/2021,2021,1,EMP10002,Katsina Urban Planning Authority,Katsina,GL 16,Access Bank,89025,35540.41,15951.26,108614.15,Active
25/01/2021,2021,1,EMP10003,Ministry of Transport,Jibia,GL 14,Zenith Bank,84298,31162.06,2635.72,112824.34,Suspended
25/01/2021,2021,1,EMP10004,Ministry of Transport,Kankia,GL 04,Zenith Bank,366329,56437.31,59227.03,363539.28,Suspended
25/01/2021,2021,1,EMP10005,Katsina State Internal Revenue Service,Malumfashi,GL 12,UBA,162304,34518.97,17333.07,179489.9,Active
25/01/2021,2021,1,EMP10006,Ministry of Agriculture,Batsari,GL 08,Zenith Bank,207623,79779.49,17037.78,270364.71,Duplicate Review
25/01/2021,2021,1,EMP10007,State Water Board,Charanchi,GL 08,Keystone Bank,179372,21711.49,21493.31,179590.18,Active
25/01/2021,2021,1,EMP10008,State Water Board,Malumfashi,GL 06,UBA,350369,52418.47,31611.4,371176.07,Active
25/01/2021,2021,1,EMP10009,State Water Board,Charanchi,GL 08,Access Bank,372088,147899.31,34189.67,485797.64,Active
25/01/2021,2021,1,EMP10010,Ministry of Works and Housing,Jibia,GL 08,UBA,345830,151981.16,51120.57,446690.59,Retired
25/01/2021,2021,1,EMP10011,Ministry of Education,Kusada,GL 08,Keystone Bank,119175,36260.01,16430.76,139004.25,Duplicate Review
25/01/2021,2021,1,EMP10012,Ministry of Education,Malumfashi,GL 12,Zenith Bank,269695,91041.64,31563.13,329173.51,Active
25/01/2021,2021,1,EMP10013,Ministry of Health,Kankia,GL 04,Zenith Bank,250851,49439.91,39408.18,260882.73,Suspended
25/01/2021,2021,1,EMP10014,Ministry of Agriculture,Mani,GL 14,UBA,287978,118238.51,42574.52,363641.99,Active
25/01/2021,2021,1,EMP10015,State Water Board,Kankia,GL 12,UBA,394077,175333.34,64053.3,505357.04,Active
25/01/2021,2021,1,EMP10016,Ministry of Works and Housing,Mani,GL 06,First Bank,197850,49741.69,28007.61,219584.08,Suspended
25/01/2021,2021,1,EMP10017,Ministry of Commerce and Industry,Kusada,GL 04,Keystone Bank,243388,42235.18,18339.1,267284.08,Suspended
25/01/2021,2021,1,EMP10018,Ministry of Commerce and Industry,Bakori,GL 14,Keystone Bank,410163,150602.05,26003.24,534761.81,Duplicate Review
25/01/2021,2021,1,EMP10019,State Water Board,Rimi,GL 04,First Bank,339477,108227.21,60960.29,386743.92,Retired
25/01/2021,2021,1,EMP10020,Katsina Urban Planning Authority,Jibia,GL 16,GTBank,367754,45295.38,45972.27,367077.11,Suspended
25/01/2021,2021,1,EMP10021,Katsina Urban Planning Authority,Batsari,GL 12,Zenith Bank,298799,89585.39,19888.35,368496.04,Suspended
25/01/2021,2021,1,EMP10022,Ministry of Commerce and Industry,Kankia,GL 06,UBA,447912,90280.49,63630.92,474561.57,Active
25/01/2021,2021,1,EMP10023,Ministry of Works and Housing,Malumfashi,GL 12,Zenith Bank,173496,41530.01,9191.36,205834.65,Duplicate Review
25/01/2021,2021,1,EMP10024,Katsina Urban Planning Authority,Musawa,GL 04,First Bank,397062,132721.73,56887.3,472896.43,Active
25/01/2021,2021,1,EMP10025,Ministry of Education,Bakori,GL 14,Keystone Bank,139778,21887.47,21047.27,140618.2,Duplicate Review
25/01/2021,2021,1,EMP10026,State Water Board,Mani,GL 04,First Bank,311884,32462.03,46517.65,297828.38,Retired
25/01/2021,2021,1,EMP10027,Ministry of Lands and Survey,Funtua,GL 10,UBA,168177,25761.94,17732.53,176206.41,Active
25/01/2021,2021,1,EMP10028,Ministry of Agriculture,Musawa,GL 04,GTBank,240255,61209.95,19401.93,282063.02,Suspended
25/01/2021,2021,1,EMP10029,Ministry of Health,Batsari,GL 10,Zenith Bank,393422,68413.7,16395.82,445439.88,Duplicate Review
25/01/2021,2021,1,EMP10030,Ministry of Education,Daura,GL 10,Access Bank,178673,79354.15,18959.67,239067.48,Duplicate Review
25/01/2021,2021,1,EMP10031,Ministry of Works and Housing,Dutsin-Ma,GL 14,Access Bank,416867,112829.79,14474.99,515221.8,Active
25/01/2021,2021,1,EMP10032,Ministry of Agriculture,Bakori,GL 14,Zenith Bank,206233,77847.45,18825.12,265255.33,Suspended
25/01/2021,2021,1,EMP10033,Ministry of Agriculture,Kankia,GL 06,Zenith Bank,210853,63661.51,36922.5,237592.01,Active
25/01/2021,2021,1,EMP10034,Ministry of Lands and Survey,Kusada,GL 04,GTBank,410623,102454.72,71080.1,441997.62,Active
25/01/2021,2021,1,EMP10035,Ministry of Works and Housing,Malumfashi,GL 06,Access Bank,358674,37483.15,25119.66,371037.49,Active
25/01/2021,2021,1,EMP10036,Katsina State Internal Revenue Service,Mani,GL 16,Access Bank,279746,67489.56,35066.94,312168.62,Active
25/01/2021,2021,1,EMP10037,Ministry of Commerce and Industry,Daura,GL 04,Zenith Bank,434982,70590.7,41251.01,464321.69,Active
25/01/2021,2021,1,EMP10038,Ministry of Transport,Musawa,GL 14,UBA,347053,103763.85,57903.49,392913.36,Retired
25/01/2021,2021,1,EMP10039,Ministry of Education,Rimi,GL 10,Access Bank,180771,27277.64,25300.28,182748.36,Suspended
25/01/2021,2021,1,EMP10040,Katsina State Internal Revenue Service,Daura,GL 16,First Bank,387657,174170.88,35778.37,526049.51,Active
25/01/2021,2021,1,EMP10041,Ministry of Lands and Survey,Kankia,GL 10,Access Bank,375742,157859.17,67161.49,466439.68,Retired
25/01/2021,2021,1,EMP10042,Katsina Urban Planning Authority,Batsari,GL 08,Access Bank,147326,55639.44,8331.08,194634.36,Active
25/01/2021,2021,1,EMP10043,Ministry of Education,Kusada,GL 14,GTBank,440475,49036.5,62428.78,427082.72,Suspended
25/01/2021,2021,1,EMP10044,Ministry of Transport,Dutsin-Ma,GL 04,Keystone Bank,112387,37979.47,18135.62,132230.85,Suspended
25/01/2021,2021,1,EMP10045,Ministry of Education,Katsina,GL 06,First Bank,280061,63265.29,35939.02,307387.27,Active
25/01/2021,2021,1,EMP10046,Ministry of Education,Funtua,GL 04,UBA,436955,54536.19,74221.87,417269.32,Retired
25/01/2021,2021,1,EMP10047,Ministry of Agriculture,Jibia,GL 06,UBA,126061,45291.75,12201.13,159151.62,Retired
25/01/2021,2021,1,EMP10048,Ministry of Lands and Survey,Charanchi,GL 04,Keystone Bank,375433,123121.5,24575.28,473979.22,Active
25/01/2021,2021,1,EMP10049,Ministry of Agriculture,Kusada,GL 12,Access Bank,139807,20096.24,10045.53,149857.71,Duplicate Review
25/01/2021,2021,1,EMP10050,Katsina State Internal Revenue Service,Jibia,GL 16,Zenith Bank,196482,24499.31,9930.2,211051.11,Active
