Date,Branch,Expense Category,Expense Amount
2021-01-01,Lagos,Rent,1991919
2021-01-01,Lagos,Utilities,868956
2021-01-01,Lagos,Fuel,3573723
2021-01-01,Lagos,Marketing,3870591
2021-01-01,Lagos,Repairs,2499015
2021-01-01,Lagos,Security,3988188
2021-01-01,Lagos,Travel,2685184
2021-01-01,Abuja,Rent,421417
2021-01-01,Abuja,Utilities,1028707
2021-01-01,Abuja,Fuel,1108508
2021-01-01,Abuja,Marketing,3970773
2021-01-01,Abuja,Repairs,3793561
2021-01-01,Abuja,Security,1141909
2021-01-01,Abuja,Travel,3810534
2021-01-01,Port Harcourt,Rent,541707
2021-01-01,Port Harcourt,Utilities,1346438
2021-01-01,Port Harcourt,Fuel,438710
2021-01-01,Port Harcourt,Marketing,2214484
2021-01-01,Port Harcourt,Repairs,512060
2021-01-01,Port Harcourt,Security,1811522
2021-01-01,Port Harcourt,Travel,3255448
2021-01-01,Kano,Rent,1135126
2021-01-01,Kano,Utilities,1449144
2021-01-01,Kano,Fuel,1844979
2021-01-01,Kano,Marketing,3754035
2021-01-01,Kano,Repairs,2247073
2021-01-01,Kano,Security,2418653
2021-01-01,Kano,Travel,1964896
2021-01-01,Ibadan,Rent,2965101
2021-01-01,Ibadan,Utilities,819560
2021-01-01,Ibadan,Fuel,3157052
2021-01-01,Ibadan,Marketing,428191
2021-01-01,Ibadan,Repairs,1314761
2021-01-01,Ibadan,Security,1862238
2021-01-01,Ibadan,Travel,2350120
2021-02-01,Lagos,Rent,2791599
2021-02-01,Lagos,Utilities,2171093
2021-02-01,Lagos,Fuel,1044839
2021-02-01,Lagos,Marketing,3951060
2021-02-01,Lagos,Repairs,2290542
2021-02-01,Lagos,Security,2761554
2021-02-01,Lagos,Travel,2612461
2021-02-01,Abuja,Rent,1766999
2021-02-01,Abuja,Utilities,1743884
2021-02-01,Abuja,Fuel,985825
2021-02-01,Abuja,Marketing,3813374
2021-02-01,Abuja,Repairs,1384898
2021-02-01,Abuja,Security,3441370
2021-02-01,Abuja,Travel,3784922
2021-02-01,Port Harcourt,Rent,3189248
2021-02-01,Port Harcourt,Utilities,679131
2021-02-01,Port Harcourt,Fuel,1495667
2021-02-01,Port Harcourt,Marketing,415135
2021-02-01,Port Harcourt,Repairs,1921373
2021-02-01,Port Harcourt,Security,508251
2021-02-01,Port Harcourt,Travel,983283
2021-02-01,Kano,Rent,3881186
2021-02-01,Kano,Utilities,2700224
2021-02-01,Kano,Fuel,3570844
2021-02-01,Kano,Marketing,1198917
2021-02-01,Kano,Repairs,3894984
2021-02-01,Kano,Security,1228413
2021-02-01,Kano,Travel,3015308
2021-02-01,Ibadan,Rent,1244188
2021-02-01,Ibadan,Utilities,3142459
2021-02-01,Ibadan,Fuel,1167092
2021-02-01,Ibadan,Marketing,1428618
2021-02-01,Ibadan,Repairs,3032955
2021-02-01,Ibadan,Security,2017597
2021-02-01,Ibadan,Travel,2452857
2021-03-01,Lagos,Rent,384105
2021-03-01,Lagos,Utilities,3926520
2021-03-01,Lagos,Fuel,3572830
2021-03-01,Lagos,Marketing,3519433
2021-03-01,Lagos,Repairs,3161353
2021-03-01,Lagos,Security,337320
2021-03-01,Lagos,Travel,2288507
2021-03-01,Abuja,Rent,854965
2021-03-01,Abuja,Utilities,3015273
2021-03-01,Abuja,Fuel,1026456
2021-03-01,Abuja,Marketing,2821372
2021-03-01,Abuja,Repairs,3659070
2021-03-01,Abuja,Security,335499
2021-03-01,Abuja,Travel,1238559
2021-03-01,Port Harcourt,Rent,1358602
2021-03-01,Port Harcourt,Utilities,2851579
2021-03-01,Port Harcourt,Fuel,3676773
2021-03-01,Port Harcourt,Marketing,1581190
2021-03-01,Port Harcourt,Repairs,3289450
2021-03-01,Port Harcourt,Security,3275305
2021-03-01,Port Harcourt,Travel,2995848
2021-03-01,Kano,Rent,1455021
2021-03-01,Kano,Utilities,2077574
2021-03-01,Kano,Fuel,1879052
2021-03-01,Kano,Marketing,3871811
2021-03-01,Kano,Repairs,1762592
2021-03-01,Kano,Security,2225177
2021-03-01,Kano,Travel,1356959
2021-03-01,Ibadan,Rent,1215235
2021-03-01,Ibadan,Utilities,2257473
2021-03-01,Ibadan,Fuel,1567288
2021-03-01,Ibadan,Marketing,3140366
2021-03-01,Ibadan,Repairs,2483713
2021-03-01,Ibadan,Security,3757410
2021-03-01,Ibadan,Travel,2915593
2021-04-01,Lagos,Rent,1965778
2021-04-01,Lagos,Utilities,2751516
2021-04-01,Lagos,Fuel,729128
2021-04-01,Lagos,Marketing,330817
2021-04-01,Lagos,Repairs,2445444
2021-04-01,Lagos,Security,3078120
2021-04-01,Lagos,Travel,3836989
2021-04-01,Abuja,Rent,3820608
2021-04-01,Abuja,Utilities,1869633
2021-04-01,Abuja,Fuel,2654921
2021-04-01,Abuja,Marketing,3015149
2021-04-01,Abuja,Repairs,2790462
2021-04-01,Abuja,Security,2854541
2021-04-01,Abuja,Travel,1485632
2021-04-01,Port Harcourt,Rent,1551898
2021-04-01,Port Harcourt,Utilities,3170636
2021-04-01,Port Harcourt,Fuel,753423
2021-04-01,Port Harcourt,Marketing,2320557
2021-04-01,Port Harcourt,Repairs,567752
2021-04-01,Port Harcourt,Security,1710475
2021-04-01,Port Harcourt,Travel,1459654
2021-04-01,Kano,Rent,2986849
2021-04-01,Kano,Utilities,1663723
2021-04-01,Kano,Fuel,3913357
2021-04-01,Kano,Marketing,1461339
2021-04-01,Kano,Repairs,1395329
2021-04-01,Kano,Security,3051965
2021-04-01,Kano,Travel,3282543
2021-04-01,Ibadan,Rent,3032448
2021-04-01,Ibadan,Utilities,1553220
2021-04-01,Ibadan,Fuel,1090039
2021-04-01,Ibadan,Marketing,928849
2021-04-01,Ibadan,Repairs,2469686
2021-04-01,Ibadan,Security,3510632
2021-04-01,Ibadan,Travel,1307899
2021-05-01,Lagos,Rent,538130
2021-05-01,Lagos,Utilities,3678217
2021-05-01,Lagos,Fuel,3895841
2021-05-01,Lagos,Marketing,3665357
