Date,Branch,Product,Opening Stock,Units Sold,Closing Stock,Inventory Value
2021-01-01,Lagos,Product A,4647,643,4004,31087056
2021-01-01,Lagos,Product B,3947,2566,1381,19260807
2021-01-01,Lagos,Product C,4986,2776,2210,20831460
2021-01-01,Lagos,Product D,724,153,571,7142068
2021-01-01,Abuja,Product A,2005,1390,615,5697360
2021-01-01,Abuja,Product B,1614,106,1508,12914512
2021-01-01,Abuja,Product C,2139,1386,753,5275518
2021-01-01,Abuja,Product D,3070,2458,612,2048364
2021-01-01,Port Harcourt,Product A,1407,423,984,5991576
2021-01-01,Port Harcourt,Product B,4730,1165,3565,41824580
2021-01-01,Port Harcourt,Product C,3861,3346,515,3724995
2021-01-01,Port Harcourt,Product D,4198,4018,180,2528100
2021-01-01,Kano,Product A,1593,633,960,4648320
2021-01-01,Kano,Product B,3183,1254,1929,10134966
2021-01-01,Kano,Product C,1191,948,243,1949346
2021-01-01,Kano,Product D,1990,905,1085,8877470
2021-01-01,Ibadan,Product A,2338,184,2154,5117904
2021-01-01,Ibadan,Product B,2373,464,1909,18280584
2021-01-01,Ibadan,Product C,2124,636,1488,20071632
2021-01-01,Ibadan,Product D,1882,201,1681,14406170
2021-02-01,Lagos,Product A,4013,2559,1454,9104948
2021-02-01,Lagos,Product B,1722,282,1440,11560320
2021-02-01,Lagos,Product C,1893,1261,632,2478704
2021-02-01,Lagos,Product D,615,545,70,1026900
2021-02-01,Abuja,Product A,4216,4148,68,267988
2021-02-01,Abuja,Product B,2338,932,1406,7200126
2021-02-01,Abuja,Product C,2680,1279,1401,19934829
2021-02-01,Abuja,Product D,4548,3229,1319,5451427
2021-02-01,Port Harcourt,Product A,4033,3607,426,2294010
2021-02-01,Port Harcourt,Product B,2265,1259,1006,13989436
2021-02-01,Port Harcourt,Product C,2051,956,1095,5425725
2021-02-01,Port Harcourt,Product D,3846,3345,501,2199891
2021-02-01,Kano,Product A,735,397,338,2125682
2021-02-01,Kano,Product B,2429,1947,482,2924776
2021-02-01,Kano,Product C,3528,2487,1041,13752651
2021-02-01,Kano,Product D,4253,802,3451,7485219
2021-02-01,Ibadan,Product A,4341,1191,3150,22982400
2021-02-01,Ibadan,Product B,3756,2913,843,4616268
2021-02-01,Ibadan,Product C,3641,3001,640,5718400
2021-02-01,Ibadan,Product D,2599,399,2200,7834200
2021-03-01,Lagos,Product A,981,153,828,6171084
2021-03-01,Lagos,Product B,2423,2028,395,3082580
2021-03-01,Lagos,Product C,872,105,767,4720885
2021-03-01,Lagos,Product D,4633,3220,1413,9828828
2021-03-01,Abuja,Product A,3733,2849,884,7139184
2021-03-01,Abuja,Product B,1583,1245,338,903474
2021-03-01,Abuja,Product C,1969,633,1336,6390088
2021-03-01,Abuja,Product D,4626,4137,489,3695373
2021-03-01,Port Harcourt,Product A,4334,1180,3154,10938072
2021-03-01,Port Harcourt,Product B,3099,3009,90,962100
2021-03-01,Port Harcourt,Product C,4046,680,3366,21091356
2021-03-01,Port Harcourt,Product D,1457,741,716,1949668
2021-03-01,Kano,Product A,1547,1122,425,2806275
2021-03-01,Kano,Product B,3453,1861,1592,10562920
2021-03-01,Kano,Product C,2656,2610,46,665942
2021-03-01,Kano,Product D,2660,2217,443,3157704
2021-03-01,Ibadan,Product A,4069,3756,313,1472039
2021-03-01,Ibadan,Product B,3084,2112,972,14105664
2021-03-01,Ibadan,Product C,1739,1238,501,6398271
2021-03-01,Ibadan,Product D,4104,317,3787,19294765
2021-04-01,Lagos,Product A,1717,211,1506,8683596
2021-04-01,Lagos,Product B,2000,173,1827,17729208
2021-04-01,Lagos,Product C,2631,769,1862,25259892
2021-04-01,Lagos,Product D,4326,3675,651,2538900
2021-04-01,Abuja,Product A,4554,434,4120,38039960
2021-04-01,Abuja,Product B,3420,3004,416,4654624
2021-04-01,Abuja,Product C,4474,3849,625,6298125
2021-04-01,Abuja,Product D,1421,403,1018,4097450
2021-04-01,Port Harcourt,Product A,3363,483,2880,15370560
2021-04-01,Port Harcourt,Product B,2827,839,1988,9456916
2021-04-01,Port Harcourt,Product C,4667,2334,2333,26194924
2021-04-01,Port Harcourt,Product D,2239,116,2123,22542014
2021-04-01,Kano,Product A,1979,952,1027,3345966
2021-04-01,Kano,Product B,2516,2140,376,4921840
2021-04-01,Kano,Product C,1272,773,499,1210075
2021-04-01,Kano,Product D,2828,599,2229,18852882
2021-04-01,Ibadan,Product A,3560,2518,1042,3893954
2021-04-01,Ibadan,Product B,3150,729,2421,5987133
2021-04-01,Ibadan,Product C,1164,1042,122,1658590
2021-04-01,Ibadan,Product D,4430,3819,611,7511634
2021-05-01,Lagos,Product A,2706,2533,173,2210940
2021-05-01,Lagos,Product B,547,268,279,758322
2021-05-01,Lagos,Product C,4211,2761,1450,20278250
2021-05-01,Lagos,Product D,1559,532,1027,2872519
2021-05-01,Abuja,Product A,2817,1423,1394,4055146
2021-05-01,Abuja,Product B,1079,660,419,4972273
2021-05-01,Abuja,Product C,3624,479,3145,26839430
2021-05-01,Abuja,Product D,2590,829,1761,10448013
2021-05-01,Port Harcourt,Product A,3767,465,3302,7713472
2021-05-01,Port Harcourt,Product B,2205,767,1438,12028870
2021-05-01,Port Harcourt,Product C,3796,1267,2529,31872987
2021-05-01,Port Harcourt,Product D,1762,346,1416,9757656
2021-05-01,Kano,Product A,4521,3641,880,12369280
2021-05-01,Kano,Product B,3040,2905,135,1604745
2021-05-01,Kano,Product C,1575,835,740,9548220
2021-05-01,Kano,Product D,1287,852,435,4523565
2021-05-01,Ibadan,Product A,2137,1102,1035,9623430
2021-05-01,Ibadan,Product B,3679,2051,1628,10415944
2021-05-01,Ibadan,Product C,3965,469,3496,50321424
2021-05-01,Ibadan,Product D,3961,3421,540,4337820
2021-06-01,Lagos,Product A,2026,989,1037,12789321
2021-06-01,Lagos,Product B,3989,480,3509,9340958
2021-06-01,Lagos,Product C,4705,2899,1806,17326764
2021-06-01,Lagos,Product D,2336,735,1601,16194115
2021-06-01,Abuja,Product A,4819,4398,421,1420875
2021-06-01,Abuja,Product B,2881,2017,864,7918560
2021-06-01,Abuja,Product C,1148,1078,70,484470
2021-06-01,Abuja,Product D,1717,361,1356,17914116
2021-06-01,Port Harcourt,Product A,2960,1118,1842,19469940
2021-06-01,Port Harcourt,Product B,4003,1310,2693,30468602
2021-06-01,Port Harcourt,Product C,890,664,226,735178
2021-06-01,Port Harcourt,Product D,869,625,244,918172
2021-06-01,Kano,Product A,4683,3580,1103,9668898
2021-06-01,Kano,Product B,1274,1051,223,2860421
2021-06-01,Kano,Product C,2575,1555,1020,6298500
2021-06-01,Kano,Product D,1169,1131,38,86108
2021-06-01,Ibadan,Product A,1433,1047,386,1907226
2021-06-01,Ibadan,Product B,1992,1826,166,1400708
2021-06-01,Ibadan,Product C,870,185,685,6041015
2021-06-01,Ibadan,Product D,2938,1385,1553,18045860
2021-07-01,Lagos,Product A,4227,3785,442,5401240
2021-07-01,Lagos,Product B,2671,1498,1173,5942418
2021-07-01,Lagos,Product C,2229,858,1371,4498251
2021-07-01,Lagos,Product D,2624,535,2089,19024523
2021-07-01,Abuja,Product A,4877,246,4631,9701945
2021-07-01,Abuja,Product B,3735,577,3158,7001286
2021-07-01,Abuja,Product C,1906,1443,463,4545271
2021-07-01,Abuja,Product D,4269,3418,851,10872376
2021-07-01,Port Harcourt,Product A,4487,2580,1907,23137631
