Date,Branch,Department,Staff Count,Payroll Cost
2021-01-01,Lagos,Operations,50,19992800
2021-01-01,Lagos,Sales,29,8758464
2021-01-01,Lagos,Finance,40,16117640
2021-01-01,Lagos,Admin,24,4006848
2021-01-01,Lagos,Logistics,38,10693618
2021-01-01,Abuja,Operations,33,11091729
2021-01-01,Abuja,Sales,26,5242640
2021-01-01,Abuja,Finance,29,3640486
2021-01-01,Abuja,Admin,10,3943680
2021-01-01,Abuja,Logistics,58,11104680
2021-01-01,Port Harcourt,Operations,32,8651072
2021-01-01,Port Harcourt,Sales,40,16021800
2021-01-01,Port Harcourt,Finance,10,3779130
2021-01-01,Port Harcourt,Admin,58,21466960
2021-01-01,Port Harcourt,Logistics,29,3618852
2021-01-01,Kano,Operations,59,20394648
2021-01-01,Kano,Sales,28,12124028
2021-01-01,Kano,Finance,24,2970816
2021-01-01,Kano,Admin,45,14215365
2021-01-01,Kano,Logistics,22,7389096
2021-01-01,Ibadan,Operations,45,15712605
2021-01-01,Ibadan,Sales,35,8785595
2021-01-01,Ibadan,Finance,20,6486540
2021-01-01,Ibadan,Admin,34,8012202
2021-01-01,Ibadan,Logistics,26,4199728
2021-02-01,Lagos,Operations,37,16570413
2021-02-01,Lagos,Sales,25,9771300
2021-02-01,Lagos,Finance,58,25607058
2021-02-01,Lagos,Admin,54,14176890
2021-02-01,Lagos,Logistics,28,11168948
2021-02-01,Abuja,Operations,27,9084960
2021-02-01,Abuja,Sales,22,3429668
2021-02-01,Abuja,Finance,21,4024230
2021-02-01,Abuja,Admin,28,4980024
2021-02-01,Abuja,Logistics,50,17936500
2021-02-01,Port Harcourt,Operations,49,17511620
2021-02-01,Port Harcourt,Sales,27,12055554
2021-02-01,Port Harcourt,Finance,41,8956655
2021-02-01,Port Harcourt,Admin,30,3905040
2021-02-01,Port Harcourt,Logistics,19,2774399
2021-02-01,Kano,Operations,44,5790488
2021-02-01,Kano,Sales,21,3646020
2021-02-01,Kano,Finance,28,7311780
2021-02-01,Kano,Admin,18,6297408
2021-02-01,Kano,Logistics,56,6960856
2021-02-01,Ibadan,Operations,24,4014936
2021-02-01,Ibadan,Sales,19,2426680
2021-02-01,Ibadan,Finance,41,9588629
2021-02-01,Ibadan,Admin,31,10550168
2021-02-01,Ibadan,Logistics,29,11057758
2021-03-01,Lagos,Operations,33,11982432
2021-03-01,Lagos,Sales,54,7378506
2021-03-01,Lagos,Finance,31,5023860
2021-03-01,Lagos,Admin,58,11402336
2021-03-01,Lagos,Logistics,13,3376412
2021-03-01,Abuja,Operations,59,19218778
2021-03-01,Abuja,Sales,14,5667046
2021-03-01,Abuja,Finance,40,8608480
2021-03-01,Abuja,Admin,22,5524486
2021-03-01,Abuja,Logistics,34,4304876
2021-03-01,Port Harcourt,Operations,17,4258959
2021-03-01,Port Harcourt,Sales,34,11976126
2021-03-01,Port Harcourt,Finance,25,3439225
2021-03-01,Port Harcourt,Admin,22,7955420
2021-03-01,Port Harcourt,Logistics,57,9647934
2021-03-01,Kano,Operations,43,9859298
2021-03-01,Kano,Sales,40,12960480
2021-03-01,Kano,Finance,53,15032655
2021-03-01,Kano,Admin,30,6094740
2021-03-01,Kano,Logistics,50,7105850
2021-03-01,Ibadan,Operations,57,23263866
2021-03-01,Ibadan,Sales,43,7913591
2021-03-01,Ibadan,Finance,26,9679852
2021-03-01,Ibadan,Admin,50,13833200
2021-03-01,Ibadan,Logistics,22,6797274
2021-04-01,Lagos,Operations,13,3044379
2021-04-01,Lagos,Sales,17,4143138
2021-04-01,Lagos,Finance,50,17381250
2021-04-01,Lagos,Admin,30,3836970
2021-04-01,Lagos,Logistics,20,5295100
2021-04-01,Abuja,Operations,47,8588310
2021-04-01,Abuja,Sales,35,8660680
2021-04-01,Abuja,Finance,10,1420160
2021-04-01,Abuja,Admin,47,17351366
2021-04-01,Abuja,Logistics,54,23359644
2021-04-01,Port Harcourt,Operations,19,5979661
2021-04-01,Port Harcourt,Sales,59,9847867
2021-04-01,Port Harcourt,Finance,25,5066975
2021-04-01,Port Harcourt,Admin,41,6884720
2021-04-01,Port Harcourt,Logistics,53,23550444
2021-04-01,Kano,Operations,31,13880219
2021-04-01,Kano,Sales,13,1967407
2021-04-01,Kano,Finance,32,6422304
2021-04-01,Kano,Admin,54,21664962
2021-04-01,Kano,Logistics,60,10578240
2021-04-01,Ibadan,Operations,18,6763860
2021-04-01,Ibadan,Sales,24,6865488
2021-04-01,Ibadan,Finance,45,13594230
2021-04-01,Ibadan,Admin,38,8404422
2021-04-01,Ibadan,Logistics,11,3498649
2021-05-01,Lagos,Operations,32,6100416
2021-05-01,Lagos,Sales,26,3658278
2021-05-01,Lagos,Finance,41,14324416
2021-05-01,Lagos,Admin,45,12353175
2021-05-01,Lagos,Logistics,44,16585756
2021-05-01,Abuja,Operations,22,9176508
2021-05-01,Abuja,Sales,21,8505273
2021-05-01,Abuja,Finance,32,9270432
2021-05-01,Abuja,Admin,56,20472088
2021-05-01,Abuja,Logistics,27,11714760
2021-05-01,Port Harcourt,Operations,45,9182970
2021-05-01,Port Harcourt,Sales,14,5578552
2021-05-01,Port Harcourt,Finance,19,6756514
2021-05-01,Port Harcourt,Admin,28,7225960
2021-05-01,Port Harcourt,Logistics,44,13748768
2021-05-01,Kano,Operations,39,4694703
2021-05-01,Kano,Sales,59,22730753
2021-05-01,Kano,Finance,34,7387282
2021-05-01,Kano,Admin,11,4894109
2021-05-01,Kano,Logistics,33,14690346
2021-05-01,Ibadan,Operations,25,7203400
2021-05-01,Ibadan,Sales,56,8579704
2021-05-01,Ibadan,Finance,52,20933536
2021-05-01,Ibadan,Admin,34,7464564
2021-05-01,Ibadan,Logistics,43,16376937
2021-06-01,Lagos,Operations,59,24138493
2021-06-01,Lagos,Sales,19,8386771
2021-06-01,Lagos,Finance,28,8095780
2021-06-01,Lagos,Admin,36,10397988
2021-06-01,Lagos,Logistics,17,2897922
2021-06-01,Abuja,Operations,43,6663237
2021-06-01,Abuja,Sales,12,2256468
2021-06-01,Abuja,Finance,21,2864316
2021-06-01,Abuja,Admin,22,3874794
2021-06-01,Abuja,Logistics,41,9038942
2021-06-01,Port Harcourt,Operations,16,2186896
2021-06-01,Port Harcourt,Sales,46,14891902
2021-06-01,Port Harcourt,Finance,52,19596356
2021-06-01,Port Harcourt,Admin,43,19227020
2021-06-01,Port Harcourt,Logistics,54,23192298
2021-06-01,Kano,Operations,26,3789110
2021-06-01,Kano,Sales,33,7778826
2021-06-01,Kano,Finance,48,7543584
2021-06-01,Kano,Admin,10,2294380
