Date,Branch,Product,Revenue,Target,Cost,Profit
2021-01-01,Lagos,Product A,12727801,13647590.99,8559002.61,4168798.39
2021-01-01,Lagos,Product B,6108603,6686734.31,4098514.43,2010088.57
2021-01-01,Lagos,Product C,13353133,15998836.63,8193615.41,5159517.59
2021-01-01,Lagos,Product D,11906820,13506910.43,5464506.04,6442313.96
2021-01-01,Abuja,Product A,5668136,6215293.52,3574358.41,2093777.59
2021-01-01,Abuja,Product B,11416129,12440926.7,7363007.42,4053121.58
2021-01-01,Abuja,Product C,11142600,12634638.31,6515777.02,4626822.98
2021-01-01,Abuja,Product D,6667265,8079965.72,3013267.94,3653997.06
2021-01-01,Port Harcourt,Product A,4678638,5565838.2,2582959.8,2095678.2
2021-01-01,Port Harcourt,Product B,4608513,5037393.9,3129402.64,1479110.36
2021-01-01,Port Harcourt,Product C,3714803,3969449.66,1779446.04,1935356.96
2021-01-01,Port Harcourt,Product D,7770619,9097414.94,5378344.44,2392274.56
2021-01-01,Kano,Product A,14242867,16263715.84,6942654.88,7300212.12
2021-01-01,Kano,Product B,8350753,8899898.85,4492316.67,3858436.33
2021-01-01,Kano,Product C,12546825,14726258.07,8889576.95,3657248.05
2021-01-01,Kano,Product D,11686361,12720109.83,5502716.42,6183644.58
2021-01-01,Ibadan,Product A,13094157,14345692.01,7029158.08,6064998.92
2021-01-01,Ibadan,Product B,3338687,4076748.98,2370284.48,968402.52
2021-01-01,Ibadan,Product C,8377459,9262074.44,5367482.66,3009976.34
2021-01-01,Ibadan,Product D,8120868,8791089.89,4519922.54,3600945.46
2021-02-01,Lagos,Product A,13243673,14613010.04,9681076.97,3562596.03
2021-02-01,Lagos,Product B,12872229,13699662.34,8244578.83,4627650.17
2021-02-01,Lagos,Product C,10961380,13107896.18,5469956.05,5491423.95
2021-02-01,Lagos,Product D,8366205,9236203.02,6087395.94,2278809.06
2021-02-01,Abuja,Product A,13545441,15731539.03,8877469.03,4667971.97
2021-02-01,Abuja,Product B,14890162,17945622.98,7723741.77,7166420.23
2021-02-01,Abuja,Product C,2538552,3074209.73,1447861.7,1090690.3
2021-02-01,Abuja,Product D,3110460,3397233.74,2279571.89,830888.11
2021-02-01,Port Harcourt,Product A,14044602,15630737.22,9081683.46,4962918.54
2021-02-01,Port Harcourt,Product B,8637601,10597789.07,5552729.84,3084871.16
2021-02-01,Port Harcourt,Product C,4396987,4849771.28,2303969.53,2093017.47
2021-02-01,Port Harcourt,Product D,11418194,13219933.15,7697051.89,3721142.11
2021-02-01,Kano,Product A,9187926,11297148.34,5235465.39,3952460.61
2021-02-01,Kano,Product B,5679591,7096451.05,2791516.27,2888074.73
2021-02-01,Kano,Product C,10279821,10980718.55,4771223.82,5508597.18
2021-02-01,Kano,Product D,3839607,4148957.47,1912103.55,1927503.45
2021-02-01,Ibadan,Product A,13416580,15220197.59,6293158.37,7123421.63
2021-02-01,Ibadan,Product B,8402509,9824026.03,4960967.07,3441541.93
2021-02-01,Ibadan,Product C,6218028,7736567.91,4403818.29,1814209.71
2021-02-01,Ibadan,Product D,2192619,2600570.42,1062029.05,1130589.95
2021-03-01,Lagos,Product A,11008867,13212573.12,7492410.52,3516456.48
2021-03-01,Lagos,Product B,7707197,8264507.77,4473485.08,3233711.92
2021-03-01,Lagos,Product C,9612220,10099069.94,6407771.33,3204448.67
2021-03-01,Lagos,Product D,14074238,15519349.94,8447017.53,5627220.47
2021-03-01,Abuja,Product A,4997281,5754550.65,2408305.88,2588975.12
2021-03-01,Abuja,Product B,12490796,13860898.4,8015154.54,4475641.46
2021-03-01,Abuja,Product C,12216824,13313677.58,6867982.72,5348841.28
2021-03-01,Abuja,Product D,4710343,5453992.2,3219933.68,1490409.32
2021-03-01,Port Harcourt,Product A,10897858,13444673.24,6862200.01,4035657.99
2021-03-01,Port Harcourt,Product B,10197443,10747037.74,7431178.4,2766264.6
2021-03-01,Port Harcourt,Product C,7159230,7860050.33,3738990.04,3420239.96
2021-03-01,Port Harcourt,Product D,11518669,14276121.89,5479385.18,6039283.82
2021-03-01,Kano,Product A,10153566,12318353.49,7548113.73,2605452.27
2021-03-01,Kano,Product B,10937326,13159428.46,5343074.49,5594251.51
2021-03-01,Kano,Product C,9973915,12361368.4,4982350.43,4991564.57
2021-03-01,Kano,Product D,10852897,13289227.04,6261485.39,4591411.61
2021-03-01,Ibadan,Product A,5553384,6862775.87,3757306.1,1796077.9
2021-03-01,Ibadan,Product B,13574058,14798848.14,7377702.61,6196355.39
2021-03-01,Ibadan,Product C,13269037,15657140.05,7715016.52,5554020.48
2021-03-01,Ibadan,Product D,10683481,12182343.77,5602114.92,5081366.08
2021-04-01,Lagos,Product A,3074176,3435751.7,1925948.56,1148227.44
2021-04-01,Lagos,Product B,5860684,6843450.51,2649950.77,3210733.23
2021-04-01,Lagos,Product C,13875600,16320766.44,7197031.38,6678568.62
2021-04-01,Lagos,Product D,2527021,3087835.39,1190876.85,1336144.15
2021-04-01,Abuja,Product A,5993055,6626493.66,3569609.49,2423445.51
2021-04-01,Abuja,Product B,11046844,11891511.87,8071423.76,2975420.24
2021-04-01,Abuja,Product C,11580513,13494103.95,6055440.67,5525072.33
2021-04-01,Abuja,Product D,9935169,12036451.28,5038352.45,4896816.55
2021-04-01,Port Harcourt,Product A,3626229,4285464.92,2017232.28,1608996.72
2021-04-01,Port Harcourt,Product B,8897151,10173046.35,5949727.33,2947423.67
2021-04-01,Port Harcourt,Product C,13297182,15699864.41,8561442.83,4735739.17
2021-04-01,Port Harcourt,Product D,3016911,3410691.06,1664703.68,1352207.32
2021-04-01,Kano,Product A,3833230,4215522.88,1943687.85,1889542.15
2021-04-01,Kano,Product B,9526486,10269899.24,4811317.56,4715168.44
2021-04-01,Kano,Product C,9761611,10737394.22,7096492.84,2665118.16
2021-04-01,Kano,Product D,9434500,11430882.17,6668210.89,2766289.11
2021-04-01,Ibadan,Product A,3642635,3861621.71,2731192.14,911442.86
2021-04-01,Ibadan,Product B,2247595,2795556.98,1636047.09,611547.91
2021-04-01,Ibadan,Product C,5965789,6462513.85,3553774.8,2412014.2
2021-04-01,Ibadan,Product D,5586084,6831390.15,4026074.3,1560009.7
2021-05-01,Lagos,Product A,4762152,5361205.12,3550625.54,1211526.46
2021-05-01,Lagos,Product B,6449368,7966927.6,4421292.04,2028075.96
2021-05-01,Lagos,Product C,6785687,7699050.63,5002376.51,1783310.49
2021-05-01,Lagos,Product D,11324245,13389495.83,6749266.14,4574978.86
2021-05-01,Abuja,Product A,5185957,5752997.65,3840786.18,1345170.82
2021-05-01,Abuja,Product B,11717032,14027014.81,5486936.94,6230095.06
2021-05-01,Abuja,Product C,7261415,7707505.9,4540223.53,2721191.47
