"Period,Revenue,Cost of Sales,Gross Profit,Operating Expenses,Finance Cost,Net Profit"
"2026-01,8250000,3200000,5050000,2100000,450000,2500000"
"2026-02,9500000,3900000,5600000,2400000,520000,2680000"
"2026-03,9750000,4200000,5550000,2750000,750000,2050000"
"2026-04,10250000,4500000,5750000,2900000,700000,2150000"
"2026-05,10800000,4700000,6100000,3100000,680000,2320000"
"2026-06,11500000,5000000,6500000,3300000,720000,2480000"
"2026-07,12000000,5200000,6800000,3450000,750000,2600000"
"2026-08,11800000,5300000,6500000,3600000,780000,2120000"
"2026-09,12500000,5600000,6900000,3750000,820000,2330000"
"2026-10,13200000,5900000,7300000,3900000,850000,2550000"
"2026-11,13800000,6100000,7700000,4100000,900000,2700000"
"2026-12,14500000,6400000,8100000,4300000,950000,2850000"
