"Date,Branch,Product,Customer,Quantity,Amount,Target,Expected Amount,Collected Amount,Discount"
"2026-01-05,Lagos,Product A,Alpha Stores,50,2500000,3000000,2500000,2400000,50000"
"2026-01-08,Abuja,Product B,Beta Mart,30,1500000,1800000,1500000,1500000,30000"
"2026-01-12,Port Harcourt,Product C,City Retail,40,2000000,2200000,2000000,1850000,40000"
"2026-01-18,Kano,Product A,North Trade,25,1250000,1500000,1250000,1200000,25000"
"2026-01-22,Ibadan,Product D,Prime Buyers,20,1000000,1300000,1000000,950000,20000"
"2026-02-04,Lagos,Product A,Alpha Stores,60,3000000,3200000,3000000,3000000,60000"
"2026-02-09,Abuja,Product C,Beta Mart,35,1750000,2000000,1750000,1600000,35000"
"2026-02-15,Port Harcourt,Product B,City Retail,45,2250000,2500000,2250000,2200000,45000"
"2026-02-20,Kano,Product D,North Trade,20,1000000,1400000,1000000,900000,20000"
"2026-02-25,Ibadan,Product A,Prime Buyers,30,1500000,1700000,1500000,1450000,30000"
"2026-03-03,Lagos,Product B,Alpha Stores,55,2750000,3300000,2750000,2700000,55000"
"2026-03-08,Abuja,Product A,Beta Mart,25,1250000,1800000,1250000,1100000,25000"
"2026-03-14,Port Harcourt,Product D,City Retail,30,1500000,2100000,1500000,1350000,30000"
"2026-03-19,Kano,Product C,North Trade,20,1000000,1600000,1000000,850000,20000"
"2026-03-24,Ibadan,Product B,Prime Buyers,25,1250000,1500000,1250000,1200000,25000"
